epoch,accuracy,loss,val_accuracy,val_loss
0,0.7634999752044678,0.6910487413406372,0.8899999856948853,0.2722187936306
1,0.8650000095367432,0.3386836051940918,0.8912500143051147,0.2787214517593384
2,0.8799999952316284,0.3046501576900482,0.8324999809265137,0.4809865951538086
3,0.9075000286102295,0.2420799881219864,0.9012500047683716,0.26594483852386475
4,0.9110000133514404,0.23527967929840088,0.9024999737739563,0.28442221879959106
5,0.9265000224113464,0.20163430273532867,0.9024999737739563,0.2819390892982483
6,0.9319999814033508,0.17632614076137543,0.9075000286102295,0.2996982932090759
7,0.9390000104904175,0.15749958157539368,0.8949999809265137,0.37789127230644226
8,0.9490000009536743,0.143157497048378,0.8987500071525574,0.377945214509964
9,0.9574999809265137,0.12726011872291565,0.9024999737739563,0.38482797145843506
